mysql> use plate;
Database changed
mysql> show tables;
+-----------------+
| Tables_in_plate |
+-----------------+
| licence_plates  |
+-----------------+
1 row in set (0.00 sec)

mysql> select * from licence_plates;
+---------+---------------+-------------------------+------------+------+
| plate   | car_brand     | car_model               | color      | year |
+---------+---------------+-------------------------+------------+------+
| MXS-803 | Subaru        | Legacy                  | Pink       | 2001 |
| BFH-682 | Cadillac      | CTS                     | Yellow     | 2004 |
| QQG-264 | Pontiac       | Grand Prix              | Fuscia     | 1964 |
| JUO-705 | Infiniti      | M                       | Crimson    | 2004 |
| CICA-01 | Pontiac       | Grand Am                | Aquamarine | 1991 |
| YOLO-69 | Acura         | NSX                     | Red        | 1993 |
| MUO-260 | Honda         | Fit                     | Blue       | 2007 |
| FRD-372 | Subaru        | Impreza                 | Blue       | 2001 |
| CDT-612 | Cadillac      | Escalade EXT            | Orange     | 2012 |
| XGI-570 | Volvo         | V40                     | Mauv       | 2004 |
| IUE-046 | Ford          | Windstar                | Red        | 2002 |
| MIND-01 | BMW           | 325                     | Green      | 2005 |
| HJA-878 | Jeep          | Wrangler                | Fuscia     | 2007 |
| MWF-312 | Hyundai       | Sonata                  | Purple     | 2010 |
| NEF-242 | Ford          | E250                    | Pink       | 2004 |
| GAH-767 | Hyundai       | Elantra                 | Turquoise  | 1992 |
| VKV-711 | Cadillac      | Escalade ESV            | Blue       | 2010 |
| ROKI-77 | BMW           | X5                      | Aquamarine | 2011 |
| RB12-51 | Opel          | Astra                   | White      | 2001 |
| KLE-928 | Oldsmobile    | Cutlass Cruiser         | Orange     | 1993 |
| FIC-190 | GMC           | Sierra                  | Turquoise  | 2008 |
| FOX-001 | BMW           | 5 Series                | Teal       | 2000 |
| EWB-502 | Mitsubishi    | Raider                  | Crimson    | 2009 |
| WYB-302 | Chrysler      | Sebring                 | Red        | 2009 |
| TFX-013 | GMC           | Suburban 2500           | Crimson    | 1995 |
| WJS-867 | Jaguar        | XK Series               | Pink       | 2001 |
| RB32-39 | Opel          | Astra                   | White      | 1993 |
| RB99-01 | Audi          | R8                      | White      | 2011 |
| QJO-137 | Hyundai       | Accent                  | Crimson    | 2000 |
| ECX-124 | Ford          | F150                    | Teal       | 2005 |
| BGO-529 | Pontiac       | Bonneville              | Blue       | 2002 |
| HUE-076 | Honda         | Passport                | Aquamarine | 1997 |
| GTZ-538 | Mercury       | Cougar                  | Indigo     | 1996 |
| FAVAG-0 | Mitsubishi    | Pajero                  | Maroon     | 1991 |
| JRT-049 | Panoz         | Esperante               | Yellow     | 2007 |
| DT11-55 | Jeep          | Liberty                 | Purple     | 2009 |
| RQL-685 | Lexus         | CT                      | Orange     | 2012 |
| RB10-91 | Opel          | Astra                   | White      | 1992 |
| FOX-397 | BMW           | X5                      | Maroon     | 2011 |
| VIR-682 | Porsche       | 944                     | Green      | 1991 |
| RB12-25 | Opel          | Astra                   | White      | 2001 |
| STJ-056 | GMC           | Yukon                   | Pink       | 2008 |
| LTW-583 | Chevrolet     | Astro                   | Maroon     | 2005 |
| NLB-711 | Ford          | Fusion                  | Fuscia     | 2009 |
| DT83-10 | Mercedes-Benz | SL-Class                | Aquamarine | 1991 |
| XXW-871 | Dodge         | Ram 3500 Club           | Turquoise  | 1997 |
| RB12-05 | Opel          | Astra                   | White      | 1991 |
| OVD-998 | Austin        | Mini Cooper             | Red        | 1964 |
| TWN-438 | Mitsubishi    | Truck                   | Puce       | 1991 |
| APY-798 | Pontiac       | Grand Prix              | Blue       | 1983 |
| CBI-960 | Chrysler      | PT Cruiser              | Violet     | 2003 |
| KNV-421 | Audi          | S4                      | Indigo     | 2013 |
| YQN-381 | Mercedes-Benz | C-Class                 | Khaki      | 2006 |
| ZGV-136 | Volkswagen    | Quantum                 | Green      | 1984 |
| INN-853 | Chevrolet     | Cobalt SS               | Orange     | 2009 |
| NCI-829 | Isuzu         | Rodeo                   | Violet     | 2002 |
| UKG-515 | Volkswagen    | rio                     | Yellow     | 1998 |
| PARA-33 | BMW           | Z3                      | Khaki      | 1999 |
| HZW-072 | Bentley       | Continental Flying Spur | Fuscia     | 2011 |
| YES-706 | Ford          | F150                    | Goldenrod  | 1992 |
| UOZ-947 | Cadillac      | Escalade EXT            | Violet     | 2004 |
| DT31-12 | Nissan        | Frontier                | Puce       | 2004 |
| PJI-661 | Buick         | Somerset                | Teal       | 1987 |
| CICA-93 | Mitsubishi    | Diamante                | Yellow     | 2001 |
| HUE-911 | Porsche       | 911                     | Red        | 1996 |
| ARP-034 | Infiniti      | G35                     | Purple     | 2004 |
| BELGA-1 | Volkswagen    | GOLF III                | Violet     | 1993 |
| MAV-166 | Dodge         | Ramcharger              | Turquoise  | 1992 |
| PFG-476 | Chevrolet     | Astro                   | Aquamarine | 2005 |
| CMB-359 | GMC           | Sierra 3500             | Blue       | 2004 |
